Date,Open,High,Low,Close,Volume
11/15/2012,0.29025,0.29775,0.28775,0.28975,466688000
11/16/2012,0.28975,0.29075,0.27875,0.2845,624552000
11/19/2012,0.28975,0.2935,0.28625,0.2925,404092000
11/20/2012,0.2895,0.29075,0.28425,0.28725,336976000
11/21/2012,0.28725,0.29625,0.287,0.2955,422312000
11/23/2012,0.29675,0.301,0.29525,0.2975,276932000
11/26/2012,0.298,0.3035,0.2975,0.30275,364600000
11/27/2012,0.3015,0.3085,0.299,0.304,451404000
11/28/2012,0.30275,0.308,0.299,0.3065,398332000
11/29/2012,0.307,0.3085,0.3,0.301,488688000
11/30/2012,0.30075,0.303,0.2975,0.29925,460504000
12/3/2012,0.303,0.303,0.293,0.29375,391380000
12/4/2012,0.29425,0.303,0.2925,0.3025,528068000
12/5/2012,0.3,0.302,0.29475,0.299,633024000
12/6/2012,0.29825,0.3015,0.29725,0.2995,412896000
12/7/2012,0.29975,0.30125,0.2955,0.299,338288000
12/10/2012,0.299,0.31125,0.29825,0.309,513644000
12/11/2012,0.31,0.32025,0.30925,0.31625,816724000
12/12/2012,0.31725,0.319,0.31175,0.313,399404000
12/13/2012,0.3125,0.31925,0.31025,0.31325,377556000
12/14/2012,0.3145,0.318,0.31225,0.31475,338660000
12/17/2012,0.314,0.31575,0.30875,0.3135,445232000
12/18/2012,0.3135,0.3175,0.3125,0.314,416436000
12/19/2012,0.31625,0.32,0.315,0.31625,458544000
12/20/2012,0.3175,0.31775,0.3125,0.316,334332000
12/21/2012,0.31175,0.31175,0.30525,0.30875,462172000
12/24/2012,0.3085,0.3095,0.30525,0.30625,127376000
12/26/2012,0.3055,0.3105,0.30475,0.306,196740000
12/27/2012,0.3065,0.307,0.3005,0.304,299804000
12/28/2012,0.30125,0.30725,0.30075,0.3025,220600000
12/31/2012,0.3015,0.30775,0.30075,0.3065,326460000
1/2/2013,0.314,0.31825,0.31275,0.318,478836000
1/3/2013,0.318,0.32175,0.3145,0.31825,298888000
1/4/2013,0.31875,0.32975,0.31775,0.32875,524968000
1/7/2013,0.3285,0.3295,0.317,0.31925,610732000
1/8/2013,0.32,0.321,0.31,0.31225,466424000
1/9/2013,0.31475,0.31625,0.30325,0.30525,695020000
1/10/2013,0.308,0.3095,0.304,0.30575,506368000
1/11/2013,0.307,0.30725,0.30225,0.30525,513172000
1/14/2013,0.30725,0.30725,0.3015,0.305,305684000
1/15/2013,0.3035,0.3035,0.29775,0.2995,375888000
1/16/2013,0.299,0.30475,0.299,0.30225,337376000
1/17/2013,0.30325,0.3075,0.3025,0.30625,580736000
1/18/2013,0.30625,0.30625,0.3005,0.30425,397088000
1/22/2013,0.304,0.30675,0.30125,0.30275,308224000
1/23/2013,0.30375,0.304,0.3,0.30325,421808000
1/24/2013,0.30225,0.306,0.30075,0.30475,396980000
1/25/2013,0.30525,0.3105,0.30375,0.31025,393920000
1/28/2013,0.31175,0.31725,0.311,0.31525,422492000
1/29/2013,0.314,0.31475,0.30725,0.3085,388872000
1/30/2013,0.30875,0.313,0.307,0.308,287592000
1/31/2013,0.308,0.3115,0.3045,0.3065,470544000
2/1/2013,0.309,0.31025,0.3065,0.30925,288816000
2/4/2013,0.3075,0.31375,0.30375,0.304,511744000
2/5/2013,0.3055,0.31275,0.3045,0.311,367296000
2/6/2013,0.3035,0.311,0.30175,0.3085,530688000
2/7/2013,0.3075,0.31,0.30425,0.30725,440000000
2/8/2013,0.30925,0.31175,0.30725,0.30925,307232000
2/11/2013,0.31175,0.316,0.30875,0.31275,408308000
2/12/2013,0.31,0.31425,0.3095,0.31075,277804000
2/13/2013,0.311,0.31675,0.30825,0.30925,856396000
2/14/2013,0.305,0.3185,0.30125,0.31825,882096000
2/15/2013,0.3175,0.31975,0.31125,0.31825,733860000
2/19/2013,0.3185,0.31875,0.312,0.314,433552000
2/20/2013,0.315,0.32,0.3085,0.3095,713012000
2/21/2013,0.309,0.3125,0.3065,0.30725,580408000
2/22/2013,0.30925,0.31325,0.3075,0.313,370148000
2/25/2013,0.31375,0.31625,0.307,0.3075,644444000
2/26/2013,0.30625,0.311,0.30525,0.30925,487504000
2/27/2013,0.30925,0.31725,0.3085,0.315,476980000
2/28/2013,0.314,0.32125,0.31275,0.3165,591392000
3/1/2013,0.31425,0.31875,0.3115,0.31775,389396000
3/4/2013,0.3155,0.3195,0.313,0.3165,353680000
3/5/2013,0.31825,0.3205,0.31675,0.32,366168000
3/6/2013,0.322,0.325,0.31825,0.31975,342928000
3/7/2013,0.3215,0.32475,0.31725,0.319,314824000
3/8/2013,0.31975,0.322,0.31825,0.3205,246464000
3/11/2013,0.31725,0.31875,0.31475,0.3175,299748000
3/12/2013,0.317,0.3195,0.314,0.3185,310856000
3/13/2013,0.3185,0.324,0.3155,0.3185,485840000
3/14/2013,0.3205,0.3215,0.31675,0.31875,383304000
3/15/2013,0.31875,0.31875,0.31475,0.316,355776000
3/18/2013,0.314,0.31675,0.3115,0.31375,298312000
3/19/2013,0.314,0.3155,0.3095,0.31175,355480000
3/20/2013,0.31475,0.3165,0.312,0.3155,340588000
3/21/2013,0.31375,0.31425,0.31,0.3105,339032000
3/22/2013,0.3115,0.31325,0.31025,0.312,232476000
3/25/2013,0.31375,0.314,0.308,0.31025,362076000
3/26/2013,0.311,0.31275,0.30975,0.3125,232540000
3/27/2013,0.31125,0.318,0.3105,0.31625,254944000
3/28/2013,0.3155,0.321,0.31325,0.32075,349276000
4/1/2013,0.32,0.32,0.308,0.31025,442828000
